['my 1 was food truck overseen in huntsman gsr ', '23', '0', '48', '0']
['what you re allergic to cocaine that sucks concerned friend', '0', '-6', '63', '-0.6']
['contemplating senior there s too much beer in this apartment ', '10', '0', '63', '0']
['my life is defective not to worry there s always jordan canonical form ', '36', '-6', '73', '-0.46153846153846156']
['15th hour in a gsr that looks like a flooded grad student s office in the basement of drl i m realizing i should have really used reading days for reading ', '0', '2', '158', '0.06451612903225806']
['you really came into this building expecting anything other than disappointment kid reacting to drl water fountain not working', '20', '-2', '130', '-0.10526315789473684']
['there are two types of people those that lift and those that pull pull up to the party pull handle pull trig pull an all nighter pull out pull one over the ta s head so who are you this finals szn see more', '0', '0', '225', '0']
['overheard at hill lunch are you drunk no but in a much more real sense yes ', '15', '-2', '81', '-0.125']
['are reading days drinking days ', '62', '0', '33', '0']
['ugly psets are a sexually transmitted disease that s why you have to wear a latex obvious virgin', '4', '-4', '103', '-0.2222222222222222']
['overheard in rodin college house there s too much darkness in life turn on the light ', '14', '-1', '89', '-0.0625']
['girl 1 he always laughs at my dad jokes girl 2 no he s too old don t do it girl 1 i made him crack up during office hours ______________________________________ update i ve seen his face and i think he s 59 he s not 59 he s totally not 59 see more', '3', '2', '266', '0.03773584905660377']
['person 1 i made brownies they re really rich that s how i like them person 2 that s what i say about my men ', '4', '4', '113', '0.16']
['talking about game of thrones in vp instead of studying night kings team is literally the lakers lebron and a bunch of bozos who can t support the main man omg you had an ice dragon bro how you fumble the bag like that really blew a 4 0 lead that shit was stupid come on you didn t put your trebuchets in the castle ', '2', '-2', '333', '-0.03076923076923077']
['me on an ubereats delivery of chinese food to hill house you know there s a chinese place right down the block right girl in gucci pajama outfit no kidding ', '1', '-2', '168', '-0.06666666666666667']
['i heard emergen c is good for replenishing your vitamins after you drink so i just mixed it into my vodka ', '38', '3', '108', '0.14285714285714285']
['i don t why i m so hype right now i guess solidworks just gets me going meam 101 kid working on his final project as if we needed more evidence penngineers are basically robots', '38', '0', '181', '0']
