['one indian song at senior formal later why couldn t i be born brown a confused non brown senior', '25', '-2', '104', '-0.10526315789473684']
['overseen grading exams at the bar', '22', '0', '34', '0']
['shit who do i add for last hurrah oh wait who was that kid in my spanish class freshman year he said hola to me once on locust ', '13', '1', '133', '0.03571428571428571']
['i went to the gym wtf how did i gain weight student stress eating during finals', '23', '-3', '84', '-0.1875']
['t 10 hours til final did we get a syllabus for this class ', '13', '0', '59', '0']
['i need crack cocaine cis419 student looking for someone to take their exam', '24', '0', '78', '0']
['some guy working on his finals paper because everything looks sexier in pdf ', '12', '0', '81', '0']
['from a stressed wharton mba i didn t come to fucking business school to work', '30', '-6', '78', '-0.4']
['my life is defective not to worry there s always jordan canonical form ', '36', '-6', '73', '-0.46153846153846156']
['overheard near huntsman person 1 i just got penetrated by my exam person 2 ayyyyeeeee ', '0', '0', '94', '0']
['i m jewish i should know this upperclassmen learning the workings of hillel dining', '1', '0', '87', '0']
['i m addicted to linkedin now i won t rest until i hit 500 ', '44', '3', '61', '0.21428571428571427']
['in wawa at midnight finals is when you miss smoking bruh finals is when you start smoking ', '9', '-2', '94', '-0.11764705882352941']
['happy finals week ', '30', '3', '18', '1']
['dude i don t think i ve learned anything in this class and even the things that i did learn i think they re fake student on courses including but not limited to cis 262 ', '78', '-2', '176', '-0.05714285714285714']
['there are two types of people those that lift and those that pull pull up to the party pull handle pull trig pull an all nighter pull out pull one over the ta s head so who are you this finals szn see more', '0', '0', '225', '0']
['overseen in van pelt undergrad study center finals season', '7', '0', '60', '0']
['student receiving final exam is today the 7th professor i don t care put whatever you want i m too tired to remember ', '5', '1', '126', '0.043478260869565216']
['person 1 tomorrow is the last of my two exams then i just have a bunch of papers person 2 god are you even a stem kid ', '11', '1', '125', '0.037037037037037035']
['senior looking at two test piles after exam i ll be honest i have no idea which one of you is my ta ', '1', '1', '103', '0.043478260869565216']
['talking about a stat course person 1 do you use r person 2 yeah person 1 oh nice is it hard person 2 the letter r person 1 what s your major person 2 philosophy see more', '68', '3', '198', '0.08108108108108109']
['overheard from highly rated cis professor machine learning is a disease', '21', '-1', '72', '-0.09090909090909091']
['what do you think is the cutest fish what about dolphins ', '12', '0', '64', '0']
['nothing s hotter than a stacked linkedin', '24', '0', '40', '0']
['i don t why i m so hype right now i guess solidworks just gets me going meam 101 kid working on his final project as if we needed more evidence penngineers are basically robots', '38', '0', '181', '0']
['girl a this is the girl i m rooming with in new york says friend s name girl b oh cool let me search her up girl a did you just open linkedin instead of facebook ', '33', '2', '176', '0.05555555555555555']
['my daughter told me i need to post more on twitter professor with two twitter accounts', '6', '0', '89', '0']
['i wish i could insider trade but i don t have the connections yet aspiring businessman', '0', '1', '91', '0.0625']
['you should always be suspicious of someone who uses nazis in a moral argument ethics prof', '14', '-2', '92', '-0.125']
['12pm the one at night right a senior celebrating the last day of classes', '0', '3', '78', '0.21428571428571427']
['it wasn t a bad exam it was just a horrible exam ', '2', '-6', '51', '-0.5']
['looks like a dick must be dick medicine former marine biologist talking abt sea cucumbers in chinese traditional medicine markets', '0', '-6', '135', '-0.3']
['oh no that squirrel fell into the trash can so did my grades bitch ', '0', '-6', '71', '-0.42857142857142855']
['prof during office hours struggling to get papers together sorry i m a mess it s just been one of those days one of those weeks one of those years one of those lives ', '15', '-5', '172', '-0.14705882352941177']
['sad engineer who cant code i started my final project a month early and got a 94 my friend started it two days before and got a 95 ', '18', '-1', '135', '-0.03571428571428571']
['i don t care about ethics i think this world is about cheating other people and making money college student taking business ethics', '50', '-1', '137', '-0.043478260869565216']
['huntsman computer lab no one a guy aggressively makes chewing noise ', '31', '-1', '73', '-0.09090909090909091']
['how s your 5k word paper going on i dont know anything about our class paper until this saturday have to finish 5000 different things', '0', '0', '138', '0']
['it is so hard to keep typing when i know i will get no points for this overheard while doing cis121 hw ', '45', '-2', '107', '-0.09090909090909091']
['i don t know anything about harry potter i know there s a guy named harry who does magic and a guy named dumbledore and there s the line you shall not pass and they ride sticks right angry reacts only ', '29', '-3', '216', '-0.07317073170731707']
['in biochem recitation i don t know what glycolysis is ', '44', '0', '57', '0']
['the legal studies department is full of grandpas of the cutest variety ', '2', '1', '72', '0.08333333333333333']
['i went back to my school in kentucky after nearly 3 months of internship at penn here is what i introduced myself to people me i was at university of pennsylvania doing an internship kentucky people oh penn state the ivy league school me ', '5', '0', '250', '0']
['student to a lecturer from drexel as everyone is packing up at 10 20 lecturer we still have 10 minutes left student sorry that s not how penn works ', '36', '-1', '156', '-0.034482758620689655']
